[2025-05-22 09:00:06,907] INFO: Found credentials in shared credentials file: ~/.aws/credentials
[2025-05-22 09:00:12,320] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:00:13,541] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:00:14,796] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:00:16,090] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:00:17,472] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:00:18,895] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:00:19,399] INFO: Relatório CSV salvo como c:\Users\itconsol\Downloads\ProjetoReconhecimento\BackEnd\Relatorios\relatorio_presenca_2025-05-22_09-00.csv
[2025-05-22 09:00:19,399] INFO: Relatório JSON salvo como c:\Users\itconsol\Downloads\ProjetoReconhecimento\BackEnd\Relatorios\relatorio_presenca.json
[2025-05-22 09:00:55,651] INFO: Found credentials in shared credentials file: ~/.aws/credentials
[2025-05-22 09:00:59,769] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:01:00,936] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:01:02,102] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:01:03,328] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:01:04,624] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:01:04,712] INFO: Relatório CSV salvo como c:\Users\itconsol\Downloads\ProjetoReconhecimento\BackEnd\Relatorios\relatorio_presenca_2025-05-22_09-00.csv
[2025-05-22 09:01:04,727] INFO: Relatório JSON salvo como c:\Users\itconsol\Downloads\ProjetoReconhecimento\BackEnd\Relatorios\relatorio_presenca.json
